Year	Peak_Flow	Gage_Height
1892	154000	24.6
1893	110000	21.1
1894	49800	12.7
1895	103000	20.4
1896	79600	17.8
1897	115000	21.5
1898	39100	10.2
1899	117000	21.7
1900	120000	22
1901	132000	23
1902	120000	22
1903	194000	27.2
1904	47500	12.2
1905	59400	14.7
1906	102000	20.3
1907	34500	9
1908	364000	39.8
1909	120000	22
1910	54900	13.8
1911	41900	10.9
1912	256000	30.7
1913	135000	23.2
1914	58900	14.6
1915	76500	17.4
1916	272000	31.5
1917	79600	17.8
1918	47500	12.2
1919	106000	20.7
1920	94100	19.5
1921	149000	24.3
1922	123000	22.2
1923	78800	17.7
1924	64600	15.6
1925	139000	23.5
1926	51100	13
1927	39100	10.2
1928	311000	33.5
1929	173000	25.9
1930	303000	33.1
1931	26800	6.7
1932	71600	16.7
1933	115000	21.5
1934	33400	12.7
1935	92300	23.3
1936	231000	33.34
1937	70900	20.56
1938	57900	18.42
1939	66400	19.93
1940	121000	26.14
1941	52000	17.19
1942	52400	17.31
1943	63400	19.44
1944	105000	24.57
1945	102000	24.3
1946	62200	19.21
1947	63400	19.42
1948	54400	17.72
1949	116000	25.56
1950	50200	16.77
1951	32000	12.27
1952	91400	23.2
1953	43500	15.28
1954	65200	19.66
1955	47000	16.06
1956	43100	15.22
1957	31000	12
1958	64000	19.46
1959	33100	12.6
1960	65200	19.68
1961	74400	21.08
1962	65200	19.69
1963	91800	23.09
1964	142000	28.6
1965	120000	26.18
1966	80600	21.74
1967	97900	23.78
1968	61200	18.81
1969	94200	23.37
1970	45200	15.44
1971	79100	21.55
1972	63900	19.26
1973	99800	23.99
1974	51600	16.87
1975	122000	26.47
1976	48400	16.16
1977	155000	29.74
1978	81700	21.87
1979	94500	23.46
1980	93100	23.29
1981	51300	16.81
1982	84200	22.2
1983	66000	19.65
1984	70300	20.3
1985	54700	17.52
1986	58900	18.37
1987	123000	26.67
1988	24700	9.78
1989	48400	16.17
1990	93700	23.37
1991	135000	27.94
1992	51200	16.78
1993	65200	19.49
1994	72300	20.59
1995	116000	25.95
1996	74900	20.97
1997	50800	16.69
1998	95200	23.55
1999	27000	10.51
2000	39100	13.97
2001	31400	11.86
2002	20500	8.59
2003	115000	25.79
2004	98000	23.88
2005	55900	17.76
2006	47700	16.01
2007	82600	22
2008	26900	10.47
2009	43300	15.01
2010	80200	21.69
2011	24800	9.8
2012	28100	10.87
2013	102000	24.39
2014	51300	16.81
2015	43800	15.13
2016	185000	31.83
2017	37000	13.43
2018	42200	14.73
2019	62100	18.97
2020	150000	29.35
2021	69400	20.18
2022	48100	16.17
