"t","Beta_0","Beta_1","Gamma_0","Phi_0","Q100","Median","Mean","Q100.SE","Q100.LL","Q100.UL","Year","Peak","n.window"
0.00763358778625954,1.56845266371808,-0.00472614835801496,-0.25525272390718,0.288464729884461,454039.015399253,93407.4479780947,116305.021069098,95359.7332219279,267137.372708927,640940.65808958,1892,154000,59
0.0152671755725191,1.55995706498389,-0.00468431618869161,-0.258292845958324,0.29431794400872,458073.63142751,92951.9389857275,116161.272273193,84106.9727657525,293226.993957944,622920.268897076,1893,110000,60
0.0229007633587786,1.55060527670633,-0.0046356222946809,-0.265162638617826,0.293330375690021,454062.692811605,92379.5065569742,115365.91925071,83175.0286699843,291042.63220535,617082.753417861,1894,49800,61
0.0305343511450382,1.54195235172994,-0.00459854378492641,-0.269508848229189,0.297677951909652,456131.43518258,91893.232400989,115060.981161808,82277.9849583581,294869.547943669,617393.32242149,1895,103000,62
0.0381679389312977,1.53256129056033,-0.00454965125691578,-0.275595887368431,0.299895978404818,455466.454445986,91339.3239965658,114509.357912611,81903.6647806777,294938.221274016,615994.687617956,1896,79600,63
0.0458015267175573,1.52329538488166,-0.00451529466934078,-0.281486407329757,0.30375710140056,456433.329123595,90798.9810578243,114080.768929081,81390.5611184073,296910.760650011,615955.89759718,1897,115000,64
0.0534351145038168,1.5139630201875,-0.00450257759942944,-0.287887628145196,0.308110651962385,457653.674715683,90249.3930320167,113661.100796013,80691.6168121111,299501.011909638,615806.337521727,1898,39100,65
0.0610687022900763,0.976648424186391,0.163049377132589,-0.262568331102291,0.559922690443748,664626.235468125,64192.7183474335,103120.35668531,6448.21367024244,651987.968909831,677264.502026419,1899,117000,66
0.0687022900763359,1.49576146406646,-0.00463390293511994,-0.304323574402843,0.312003631354461,454150.56464181,89111.1960582872,112386.875135535,74714.1020697526,307713.615447845,600587.513835775,1900,120000,67
0.0763358778625954,1.48720889242037,-0.0047086674758136,-0.309633652216468,0.319604869910365,458808.320042416,88625.1833243552,112256.234058818,73645.7935100052,314465.217149932,603151.4229349,1901,132000,68
0.083969465648855,1.47746626929314,-0.00476636346981777,-0.318570681861343,0.321039799917634,456233.102606603,88014.377047795,111524.938424892,73647.5033039957,311886.648579477,600579.556633729,1902,120000,69
0.0916030534351145,1.46741741447557,-0.00479046418668346,-0.328070389552774,0.320861540150817,451951.509430616,87377.8360186139,110655.062650341,72839.6913425569,309188.33775419,594714.681107041,1903,194000,70
0.099236641221374,1.4550295885239,-0.00486405626186289,-0.349498472875223,0.299573200962216,424317.451858138,86414.0074851827,107914.132729564,66596.2631787183,293791.1745229,554843.729193377,1904,47500,71
0.106870229007634,1.44505232681251,-0.00483014284111062,-0.358491830919166,0.298439163652208,419680.231285363,85790.2675417606,107030.649269027,65544.2770332239,291215.808907529,548144.653663198,1905,59400,72
0.114503816793893,1.43647785235845,-0.00474761917017274,-0.361374999666601,0.306484296953575,425287.255088627,85340.5441662165,106996.733414115,66950.794834626,294066.10847643,556508.401700824,1906,102000,73
0.122137404580153,1.42734852461993,-0.0046867255077014,-0.36996783808205,0.302152499549527,418042.743363704,84758.8628688155,105974.798691298,65689.7517595755,289293.195761559,546792.290965849,1907,34500,74
0.129770992366412,1.2244993482007,0.108412890561369,-0.413381745033868,1.24234911271928,654835.358344265,74527.3995073772,112315.817416792,10292.979566502,634661.489100315,675009.227588216,1908,364000,75
0.137404580152672,1.40878330195275,-0.00468232227740259,-0.404797342080349,0.254214779003205,366417.389817489,83265.9050208995,101095.67476118,58875.108733651,251024.297113654,481810.482521325,1909,120000,76
0.145038167938931,1.40054492146787,-0.00457357656081334,-0.411337580759843,0.252264237464307,362569.842479319,82765.9350143712,100375.004292164,57278.4200482233,250306.202093444,474833.482865194,1910,54900,77
0.152671755725191,1.39218179426529,-0.00449998987861797,-0.422216176165018,0.241649168920932,350976.819266369,82185.9213527367,99046.9337607834,55161.0751117497,242863.098698831,459090.539833908,1911,41900,78
0.16030534351145,1.38508914962667,-0.00432427215584895,-0.421768472172719,0.25285987723599,359216.020216132,81862.3023240396,99320.1904012433,55250.0816139762,250927.85010984,467504.190322424,1912,256000,79
0.16793893129771,1.37715727468491,-0.00424064413490292,-0.431602545516953,0.244358514548652,349606.254169456,81323.2967333716,98166.9710420569,53066.1757407678,245598.460920278,453614.047418634,1913,135000,80
0.175572519083969,1.36895559692246,-0.00418910315759394,-0.445849060911215,0.227627795775101,333170.950189581,80699.5104613845,96460.3976720732,49844.8928244558,235476.755440389,430865.144938774,1914,58900,81
0.183206106870229,1.36198776779393,-0.00405841285971703,-0.452003905977115,0.224940247526125,329314.201939374,80269.9272886702,95801.3002044009,49450.6831851342,232392.64388561,426235.759993137,1915,76500,82
0.190839694656489,1.35508240984106,-0.00389522459231581,-0.455465662430959,0.229312668492097,331126.593190819,79892.3476536071,95585.6571714408,48431.0177023764,236203.542759539,426049.643622098,1916,272000,83
0.198473282442748,1.34955646143858,-0.00366659499911085,-0.451024512981801,0.246893175345465,344679.535693344,79709.0711994398,96357.8733363381,50929.8053002104,244858.951565294,444500.119821393,1917,79600,84
0.206106870229008,1.34357124287355,-0.00351215487087484,-0.453265541934777,0.2522536461674,347701.197692082,79394.1628647132,96279.6404087117,50487.7136891779,248747.097199524,446655.298184641,1918,47500,85
0.213740458015267,1.33794738592743,-0.00336004601653578,-0.456079437080175,0.255356980274451,348925.687054979,79085.3878165448,96082.4783158447,52253.011484073,246511.666462438,451339.707647519,1919,106000,86
0.221374045801527,1.33200140646516,-0.00322276815808972,-0.462609721031985,0.251308726558469,343822.397025611,78700.0137252937,95380.4596013963,50980.0785047797,243903.279227218,443741.514824004,1920,94100,87
0.229007633587786,1.32614070735297,-0.00310124412395966,-0.471607906998443,0.242011076546369,334372.406831048,78278.550634535,94344.9611932467,49552.6772081691,237250.944165498,431493.869496598,1921,149000,88
0.236641221374046,1.32079841872208,-0.0029679130133245,-0.480277707995539,0.232157913957271,324916.289465528,77886.8485349261,93333.2163254301,48397.6407216026,230058.656714477,419773.922216578,1922,123000,89
0.244274809160305,1.31654364489823,-0.00278062527326309,-0.479823114403317,0.240634532465314,330729.878428515,77697.7938868286,93565.0507977458,47731.9794187388,237176.91785698,424282.83900005,1923,78800,90
0.251908396946565,1.311462171442,-0.00263786115053932,-0.488032613084117,0.232358248450204,322586.956252642,77328.9501390641,92665.6361308375,46410.2998190405,231624.440095617,413549.472409667,1924,64600,91
0.259541984732824,1.30697882291404,-0.00247192624702854,-0.49260136194825,0.231642660008914,320703.396952963,77049.664824705,92282.1779043765,45285.0457039931,231946.338334886,409460.45557104,1925,139000,92
0.267175572519084,1.30285561009047,-0.00229737230921669,-0.496581506003047,0.231929124542644,319677.333460048,76797.6367025941,91983.2999094727,44318.9189053791,232813.848571754,406540.818348343,1926,51100,93
0.274809160305344,1.29862153535134,-0.00212547683856617,-0.500764170210395,0.233130412571518,319216.454861113,76539.8343809884,91719.2122139219,43411.5305457705,234131.418477642,404301.491244583,1927,39100,94
0.282442748091603,1.29441807496643,-0.00195980296706223,-0.505808136992353,0.233432070694453,317930.421635478,76271.8907947414,91389.1797281131,42475.4743448686,234680.02169328,401180.821577675,1928,311000,95
0.290076335877863,1.2906956798725,-0.00177871628731394,-0.509575516571942,0.235158010110137,317954.750068343,76045.9590911276,91187.9404851964,43021.1989581538,233634.74953863,402274.750598056,1929,173000,96
0.297709923664122,1.28756710849936,-0.0017068409786417,-0.511982083872432,0.236577582483481,318146.325787463,75864.8301493392,91037.4791505293,31549.7150682976,256310.020531099,379982.631043827,1930,303000,97
0.305343511450382,1.28430275995051,-0.00164841090365973,-0.514875972712663,0.23781544174367,318084.3567074,75670.9983711326,90858.2306564242,31557.4028145553,256232.983745248,379935.729669551,1931,26800,98
0.312977099236641,1.28107242112045,-0.00158141616096574,-0.518727047667485,0.23688569839247,316322.424616994,75463.5201598488,90548.6517798341,31364.4422234783,254849.247463789,377795.601770199,1932,71600,99
0.320610687022901,1.27826602815985,-0.00150181748851039,-0.521852046604216,0.236211961635961,314944.539412577,75286.2059475003,90292.7212287834,31276.53781469,253643.65173468,376245.427090475,1933,115000,100
0.32824427480916,1.27514191513417,-0.00143807185127838,-0.526543493619863,0.233512045103256,311823.154367988,75071.2002723255,89881.9642934143,30743.3432482125,251567.308837139,372078.999898837,1934,33400,101
