Peak,Height,Year,Index
72500,21.6,1892,1
18000,9.6,1894,3
9640,6.2,1895,4
39500,16.1,1896,5
38000,15.8,1897,6
44500,17.1,1898,7
57600,19.5,1900,9
63700,20.4,1904,13
32600,14.6,1905,14
20400,10.5,1906,15
39000,16,1907,16
77000,22.2,1908,17
31800,14.4,1909,18
30600,14.1,1910,19
26600,12.8,1911,20
33000,14.7,1912,21
54000,18.9,1913,22
26000,12.6,1914,23
45500,17.3,1915,24
40000,35.4,1916,25
28400,13.4,1917,26
48500,17.9,1918,27
63000,20.3,1919,28
48000,17.8,1920,29
19500,10.2,1921,30
60600,20.1,1922,31
27200,13,1923,32
51200,18.4,1924,33
23600,11.7,1925,34
41000,16.4,1926,35
56700,19.4,1927,36
37500,15.7,1928,37
46500,17.5,1929,38
35100,15.2,1930,39
22500,11.3,1931,40
27800,13.2,1932,41
62300,19.1,1933,42
15400,8.7,1934,43
36000,14.84,1935,44
36400,15.21,1936,45
26400,12.28,1937,46
35100,14.62,1938,47
38800,15.38,1939,48
21100,15.26,1940,49
18500,14.67,1941,50
74400,23.94,1942,51
73800,23.82,1943,52
56100,21.26,1944,53
42300,18.99,1945,54
43500,19.15,1946,55
72000,23.57,1947,56
64400,22.6,1948,57
38200,18.31,1949,58
83300,24.91,1950,59
51900,20.63,1951,60
44100,19.3,1952,61
32600,17.3,1953,62
44700,19.4,1954,63
56600,21.39,1955,64
30900,16.97,1956,65
93900,25.2,1957,66
48900,20.06,1958,67
49500,20.25,1959,68
42300,18.96,1960,69
49500,20.21,1961,70
46200,19.6,1962,71
28500,16.36,1963,72
19300,14.73,1964,73
40900,18.65,1965,74
66500,22.64,1966,75
39000,,1967,76
52200,20.65,1968,77
35200,17.61,1969,78
92500,25.08,1970,79
27100,16.14,1971,80
41300,18.73,1972,81
64900,22.47,1973,82
64000,22.37,1974,83
50200,20.3,1975,84
66900,22.61,1976,85
36100,17.78,1977,86
56600,21.31,1978,87
71100,23.08,1979,88
49700,20.22,1980,89
88500,24.73,1981,90
75800,23.57,1982,91
94100,26.78,1983,92
62800,22.46,1984,93
84800,25.66,1985,94
68300,23.33,1986,95
30100,16.84,1987,96
35800,17.87,1988,97
38300,18.62,1989,98
53600,20.94,1990,99
85800,25.79,1991,100
27500,16.12,1992,101
66000,22.48,1993,102
47500,19.53,1994,103
49300,19.82,1995,104
79300,24.53,1996,105
95000,26.85,1997,106
77200,24.22,1998,107
47100,19.48,1999,108
46700,19.42,2000,109
66000,22.51,2001,110
79200,24.52,2002,111
38000,17.97,2003,112
52200,20.37,2004,113
81400,24.88,2005,114
38000,17.98,2006,115
78400,24.43,2007,116
104000,28.13,2008,117
89200,26.02,2009,118
53200,20.53,2010,119
52800,20.46,2011,120
49000,19.84,2012,121
105000,28.27,2013,122
43700,18.96,2014,123
68800,22.99,2015,124
75700,24.03,2016,125
59400,21.52,2017,126
96100,27.02,2018,127
92700,26.53,2019,128
106000,28.32,2020,129
51400,20.24,2021,130
53400,20.56,2022,131
