"t","Beta_0","Beta_1","Gamma_0","Phi_0","Q100","Median","Mean","Q100.SE","Q100.LL","Q100.UL","Year","Peak","n.window"
0.00763358778625954,0.75490399635413,0.0165125267906079,-0.888487518633978,0.00747885092118312,93794.9789042403,31704.7437024274,34838.0091859309,11985.3535248424,70304.117653569,117285.840154912,1892,72500,26
0.0229007633587786,0.814313756142285,0.0132368146283249,-0.876697316000707,-0.0310318989977486,90996.9118623032,33809.5393764395,36479.0360172471,12592.094388717,66316.8603704891,115676.963354117,1894,18000,28
0.0305343511450382,0.834675729556747,0.0122744593082517,-0.875264841549889,-0.0425090298055988,90262.9031381355,34519.0261339268,37052.8581157443,11341.0709653163,68034.8125000025,112490.993776268,1895,9640,29
0.0381679389312977,0.856237680172536,0.0106861992534481,-0.872958680496443,-0.0565549367420728,89365.8252841988,35272.9145797328,37647.4657460779,23324.7711402059,43650.113901756,135081.536666642,1896,39500,30
0.0458015267175573,0.871546565522444,0.0096640205323968,-0.875417454395149,-0.0645295754783815,88783.5112335433,35788.4249366394,38066.4647821005,30467.1366978699,29069.0205936597,148498.001873427,1897,38000,30
0.0534351145038168,0.883320317016669,0.00918843546986119,-0.879215065561333,-0.0714176072591986,88162.2215649879,36174.2802239908,38367.2716963543,10757.9645541649,67076.9984918662,109247.44463811,1898,44500,31
0.0687022900763359,0.902094379815246,0.00863083363271928,-0.892666920961897,-0.0792878826959577,87164.7376178466,36754.2009992269,38833.5194579037,8713.68379103562,70086.2312147464,104243.244020947,1900,57600,33
0.099236641221374,0.935706033829944,0.00602020867377097,-0.91283750610626,-0.0973295627280593,85331.7002652671,37811.9068299068,39666.9621998625,8277.64884171677,69107.8066588325,101555.593871702,1904,63700,37
0.106870229007634,0.943975055440077,0.0048791599962105,-0.909713727772755,-0.110778179162488,84451.2217468979,38106.0250870163,39836.2204613708,11045.3077305474,62802.8163968631,106099.627096933,1905,32600,38
0.114503816793893,0.95007932245052,0.00377530461154002,-0.908153202094818,-0.12260478794225,83627.2133406963,38317.9713913331,39939.8582492263,23788.569690041,37002.4735044947,130251.953176898,1906,20400,39
0.122137404580153,0.95393075296531,0.00293612970682859,-0.910799599462343,-0.130169797422188,82942.536414663,38433.3445962808,39982.0608548405,1248736.39641183,-2364535.82673685,2530420.89956618,1907,39000,40
0.129770992366412,0.956280053711235,0.00214704994705215,-0.915018870640732,-0.135131569154561,82378.8270750248,38490.4208926266,39988.4265955005,50823.7766765535,-17233.9447693268,181991.598919376,1908,77000,41
0.137404580152672,0.957114017329406,0.00144327922187145,-0.922165636349176,-0.137941311147149,81817.6073086415,38481.6751018091,39944.4427646328,35025.0424426747,13169.7855640124,150465.429053271,1909,31800,42
0.145038167938931,0.957224353046988,0.000881049097374055,-0.931555715082142,-0.139190200936973,81264.1190914711,38438.010819193,39876.3509735427,51840.7241396918,-20341.833154801,182870.071337743,1910,30600,43
0.152671755725191,0.9567210557874,0.00028363445871082,-0.940801495644937,-0.139988148182934,80740.2693846415,38374.3713912687,39792.6849961265,49716.7293827716,-16702.7296347151,178183.268403998,1911,26600,44
0.16030534351145,0.955003946632247,-0.000494849226430419,-0.94980547231673,-0.141530814885374,80129.4313282676,38269.2917778557,39661.9278406934,15327.0438303707,50088.9774312742,110169.885225261,1912,33000,45
0.16793893129771,0.952313892288512,-0.00120463379399507,-0.95843090479058,-0.140023464775286,79757.3459021129,38134.6571469963,39527.8909503293,13826.832181977,52657.2528051586,106857.438999067,1913,54000,46
0.175572519083969,0.949463091014884,-0.00154049469114818,-0.967176319607876,-0.130965021329069,80002.6420502718,37999.7865136409,39456.8442280638,6029.45203936431,68185.1332066061,91820.1508939374,1914,26000,47
0.183206106870229,0.947128115116358,-0.00169601523295174,-0.975301879702362,-0.118151801089474,80640.2788547943,37889.0917319004,39444.3197099314,16584.9850458909,48134.3054807129,113146.252228876,1915,45500,48
0.190839694656489,0.945669852753132,-0.0018262309064112,-0.983522734979706,-0.106040320141685,81281.6725142679,37808.4479858471,39457.7660393287,13732.516779624,54366.4342091129,108196.910819423,1916,40000,49
0.198473282442748,0.944606049009073,-0.00199588143367646,-0.993217349658445,-0.0939095518718073,81904.7819024052,37735.0710256342,39478.1589553794,7675.39850886356,66861.2772580402,96948.2865467702,1917,28400,50
0.206106870229008,0.943913742840822,-0.0022145620082526,-1.00439733627661,-0.0803076528965677,82650.2907572678,37669.3855452791,39519.2352193028,6898.52307354838,69129.4339865944,96171.1475279412,1918,48500,51
0.213740458015267,0.94439258628936,-0.00263575058759338,-1.01395419210878,-0.0604082869234622,84227.7361306708,37657.6774881873,39681.5902090258,6311.10536498423,71858.1969126642,96597.2753486774,1919,63000,51
0.221374045801527,0.943625761125949,-0.00302872232933753,-1.02406199344895,-0.0343862427141817,86566.5177627815,37605.3453218946,39873.5365187933,6111.09555747052,74588.9905640565,98544.0449615064,1920,48000,51
0.229007633587786,0.943961506507994,-0.0026500696618578,-1.01868739845702,-0.0276515244266379,87665.5067038032,37647.2946146975,39999.7645962256,5832.96618357287,76233.1030609604,99097.9103466461,1921,19500,51
0.236641221374046,0.946663193152154,-0.00170101930415096,-1.00132253625241,-0.0299181924923171,88441.0269360856,37820.6839788772,40189.5320820708,5688.17991595329,77292.3991632331,99589.6547089382,1922,60600,51
0.244274809160305,0.951739863544776,-0.000523415696365992,-0.982537701747588,-0.0402355067395747,88418.7232319612,38078.5204580083,40379.1172391643,5575.43159483179,77491.0781078241,99346.3683560982,1923,27200,50
0.251908396946565,0.958911754605032,0.000847504013593992,-0.963338293699282,-0.0570628979526011,87768.9872522668,38407.6804511067,40571.6876420069,5364.83782960703,77254.098323339,98283.8761811946,1924,51200,50
0.259541984732824,0.966353249019938,0.00208031187900861,-0.947294817929889,-0.0739413551020105,87027.8080025358,38732.2709278836,40755.1225730009,5362.46793928945,76517.5639732778,97538.0520317939,1925,23600,50
0.267175572519084,0.975359546731192,0.00322488886798455,-0.931508401281746,-0.0926745880766681,86215.2736236961,39109.9642170517,40976.1083888255,5317.4109149268,75793.3397394394,96637.2075079528,1926,41000,50
0.274809160305344,0.986414331557444,0.00444739674806185,-0.913702970228347,-0.11389205819821,85434.1249577893,39568.6916531125,41262.5695149505,5010.3906238051,75613.9397866541,95254.3101289245,1927,56700,50
0.282442748091603,0.995084309784727,0.00549315866811688,-0.902101728112082,-0.129588918974254,84868.2434875886,39918.263123619,41485.7909840152,4851.39919635663,75359.6757881031,94376.8111870742,1928,37500,50
0.290076335877863,1.00290471892382,0.00675949474303466,-0.890426425707883,-0.136273648535415,85126.4740284142,40246.3677238184,41771.3359352102,5016.77011470529,75293.7852848749,94959.1627719534,1929,46500,50
0.297709923664122,1.0111893126059,0.00790194168913601,-0.880995201540402,-0.139693108621598,85585.1757338997,40582.3194036158,42090.7080358148,4742.93187736225,76289.2000731427,94881.1513946566,1930,35100,50
0.305343511450382,1.01941436493531,0.00876114263726938,-0.873288429035997,-0.135756342346275,86615.9302850422,40913.5571669639,42469.6428841985,4816.84098046642,77175.0954440715,96056.765126013,1931,22500,50
0.312977099236641,1.02692514713844,0.00956000510843378,-0.869534420497733,-0.128774947356229,87715.28859483,41201.8734005857,42828.9541043434,4947.29701494763,78018.7646247101,97411.8125649498,1932,27800,50
0.320610687022901,1.03381625757276,0.0103768825524217,-0.869422550210964,-0.119271866238067,88869.3294760552,41451.589035306,43169.651529831,5066.7974687196,78938.5889204061,98800.0700317043,1933,62300,50
0.32824427480916,1.03978619619051,0.0112509397203518,-0.87332659675027,-0.106574253729634,90134.5002869008,41650.7645168524,43486.8781179861,5237.66623255084,79868.8631080596,100400.137465742,1934,15400,50
0.33587786259542,1.04443273536496,0.0118344850355766,-0.879453758225813,-0.0918801815000011,91500.6263441875,41793.9066428066,43767.9907693147,5601.73844894282,80521.4207334464,102479.831954929,1935,36000,50
0.343511450381679,1.04899533605953,0.0116714020932277,-0.876867453473424,-0.0844424656193328,92614.6360693677,41973.6817135891,44030.9992934845,7440.8187840796,78030.8992370825,107198.372901653,1936,36400,50
0.351145038167939,1.0519832869819,0.0112351559293589,-0.871941833103113,-0.0798398327040154,93512.3611865966,42108.31558975,44225.2083938909,7743.87163473378,78334.6516816171,108690.070691576,1937,26400,50
0.358778625954198,1.05598159718532,0.010870826848619,-0.868136668288968,-0.0763318997538919,94270.4565507202,42271.5661289664,44434.7720974264,7777.37097883951,79027.0895377878,109513.823563653,1938,35100,50
0.366412213740458,1.06084686078938,0.010597759409984,-0.864949180496091,-0.0740919854388905,94884.1656320268,42460.8335176758,44655.6422323625,8395.2997452504,78429.6804919177,111338.650772136,1939,38800,51
0.374045801526718,1.06479073770074,0.0103921357110036,-0.86527701903671,-0.070034191292155,95480.8497997742,42600.8024859036,44840.016193847,8612.43031960684,78600.796553984,112360.903045564,1940,21100,51
0.381679389312977,1.06950132770396,0.0101468072168736,-0.865960082411929,-0.0669121509747425,95978.3979128607,42764.8755980016,45037.607671309,9136.41854811711,78071.3466108675,113885.449214854,1941,18500,51
0.389312977099237,1.07486210366145,0.00975720347323705,-0.864717667750781,-0.062936095597936,96720.3879392599,42962.7759925229,45283.4719702084,13768.9008477171,69733.8381710315,123706.937707488,1942,74400,51
0.396946564885496,1.08203628993206,0.0093629010656127,-0.859702706740051,-0.0598764399800904,97646.2541227058,43243.5644838201,45611.1842646743,9219.36775167897,79576.625369185,115715.882876227,1943,73800,51
0.404580152671756,1.08613405151741,0.00883505319028064,-0.856380570378846,-0.0553790746298901,98553.8658635976,43409.0605233265,45837.1089077536,10161.1200106576,78638.4366001196,118469.295127076,1944,56100,51
0.412213740458015,1.09072733478548,0.00829178051668562,-0.853665371565381,-0.0510439804351038,99435.1566939891,43588.5724078639,46074.6463251873,9988.83803021475,79857.3939073642,119012.919480614,1945,42300,51
0.419847328244275,1.0967323267452,0.0079515213046655,-0.849630120578585,-0.0481884754068571,100265.918063701,43823.3456049978,46353.8250108159,11220.4762273934,78274.1887686224,122257.64735878,1946,43500,51
