Peak,Height,Year,Index
17200,17.31,1912,1
11500,14.6,1913,2
10600,14,1914,3
6500,16.6,1915,4
6770,10.31,1916,5
8200,12.57,1917,6
8120,11.43,1918,7
12300,14.63,1919,8
10000,12.94,1920,9
11300,13.9,1921,10
12500,14.77,1922,11
8120,11.43,1923,12
57000,27.1,1928,17
6100,11.73,1929,18
6500,9.85,1930,19
6650,10.18,1931,20
10100,12.81,1932,21
11700,14.24,1933,22
11300,13.93,1934,23
13500,14.89,1935,24
15600,16.57,1936,25
8370,11.64,1937,26
11500,14.11,1938,27
7340,10.61,1939,28
6490,9.96,1940,29
2800,6.93,1941,30
6440,9.83,1942,31
4160,8.05,1943,32
6260,9.66,1944,33
6600,9.92,1945,34
9000,14.1,1946,35
11300,13.9,1947,36
4400,8.25,1948,37
6950,10.46,1949,38
5180,8.98,1950,39
5920,9.6,1951,40
10900,14.16,1952,41
5650,9.84,1953,42
3970,8.21,1954,43
5130,9.36,1955,44
4570,8.81,1956,45
3550,7.72,1957,46
6390,10.51,1958,47
5480,9.76,1959,48
6600,12.02,1960,49
4170,8.54,1961,50
6440,10.59,1962,51
5650,9.92,1963,52
8050,11.93,1964,53
1830,6.02,1965,54
4090,8.46,1966,55
5850,10.1,1967,56
6110,10.32,1968,57
7910,12.62,1969,58
5810,10.53,1970,59
7240,11.96,1971,60
9580,14.14,1972,61
13800,17.55,1973,62
7280,12,1974,63
6450,11.17,1975,64
10500,14.97,1976,65
7670,12.38,1977,66
5920,10.64,1978,67
5330,10.03,1979,68
2950,7.41,1980,69
6080,10.8,1981,70
8060,12.4,1982,71
7310,11.65,1983,72
9340,13.7,1984,73
3000,7.17,1985,74
6050,10.36,1986,75
9130,13.5,1987,76
4110,8.35,1988,77
10100,14.4,1989,78
6380,10.69,1990,79
7190,11.49,1991,80
11500,15.7,1992,81
4500,8.78,1993,82
8320,12.69,1994,83
2860,6.94,1995,84
10300,14.64,1996,85
5500,9.86,1997,86
6010,10.37,1998,87
4980,9.3,1999,88
6090,10.54,2000,89
9570,14.18,2001,90
5930,10.37,2002,91
4430,8.66,2003,92
6580,11.08,2004,93
7110,11.64,2005,94
7130,11.66,2006,95
6660,11.16,2007,96
5830,10.26,2008,97
4050,9.63,2009,98
6160,10.62,2010,99
14600,19.05,2011,100
2660,6.71,2012,101
4480,8.72,2013,102
7080,10.79,2014,103
5880,9.59,2015,104
7740,11.47,2016,105
7940,11.67,2017,106
5890,12.73,2018,107
7400,11.12,2019,108
6180,9.89,2020,109
4620,8.35,2021,110
4920,10.22,2022,111
17800,21.35,2023,112
